"","BR-A-Control_counts.txt","BR-A-Mutant_counts.txt","BR-B-Control_counts.txt","BR-B-Mutant_counts.txt","BR-C-Control_counts.txt","BR-C-Mutant_counts.txt"
"ENSMUSG00000002102",396,365,375,426,365,411
"ENSMUSG00000002103",914,963,724,994,888,886
"ENSMUSG00000002104",0,1,1,0,1,0
"ENSMUSG00000002105",233,257,235,248,255,238
"ENSMUSG00000002107",1544,1764,1398,1828,1548,1539
"ENSMUSG00000002108",7,6,2,1,5,11
"ENSMUSG00000002109",61,73,56,71,49,100
"ENSMUSG00000002111",0,3,1,0,1,4
"ENSMUSG00000002129",1023,984,890,1105,1069,1000
"ENSMUSG00000002147",1,1,3,0,2,6
"ENSMUSG00000002190",135,191,208,191,208,207
"ENSMUSG00000002204",10,14,7,1,6,13
"ENSMUSG00000002205",44,46,46,53,36,48
"ENSMUSG00000002210",114,134,96,148,119,147
"ENSMUSG00000002221",575,671,612,638,596,528
"ENSMUSG00000002222",858,898,856,860,841,803
"ENSMUSG00000002227",11,9,11,7,19,10
"ENSMUSG00000002228",0,0,1,0,0,0
"ENSMUSG00000002233",5,7,4,7,4,7
"ENSMUSG00000002240",0,0,0,0,0,0
"ENSMUSG00000002249",6,3,1,10,6,6
"ENSMUSG00000002250",17,20,20,17,15,14
"ENSMUSG00000002257",3,9,8,6,7,6
"ENSMUSG00000002265",5522,6615,5889,5326,4888,5342
"ENSMUSG00000002266",36,48,33,31,15,29
"ENSMUSG00000002274",1,5,3,1,2,3
"ENSMUSG00000002279",147,175,150,183,154,142
"ENSMUSG00000002280",55,63,65,45,46,56
"ENSMUSG00000002289",0,3,4,11,4,0
"ENSMUSG00000002290",112,120,69,138,90,98
"ENSMUSG00000002297",172,170,155,150,157,146
"ENSMUSG00000002307",255,251,226,280,221,203
"ENSMUSG00000002308",224,230,225,272,193,202
"ENSMUSG00000002319",328,391,324,445,368,401
"ENSMUSG00000002320",131,163,144,167,111,140
"ENSMUSG00000002324",174,45,65,191,152,114
"ENSMUSG00000002325",157,189,183,180,210,176
"ENSMUSG00000002326",165,167,130,168,150,158
"ENSMUSG00000002329",219,293,197,326,242,247
"ENSMUSG00000002332",279,279,258,327,248,283
"ENSMUSG00000002341",5577,5520,5072,6035,5265,5424
"ENSMUSG00000002342",167,187,146,195,151,147
"ENSMUSG00000002343",123,161,114,185,132,135
"ENSMUSG00000002345",164,178,157,173,148,159
"ENSMUSG00000002346",112,89,107,102,74,96
"ENSMUSG00000002365",27,29,24,29,30,34
"ENSMUSG00000002372",247,250,221,289,265,276
"ENSMUSG00000002379",144,126,103,131,97,141
"ENSMUSG00000002384",11,17,11,9,12,25
"ENSMUSG00000002393",18,19,12,21,12,15
"ENSMUSG00000002395",182,208,187,229,164,196
"ENSMUSG00000002396",72,70,40,72,54,62
"ENSMUSG00000002409",183,188,128,205,153,204
"ENSMUSG00000002413",2710,2948,2772,2713,2753,2721
"ENSMUSG00000002416",233,243,224,246,241,238
"ENSMUSG00000002428",394,428,333,364,363,342
"ENSMUSG00000002455",330,400,383,410,419,415
"ENSMUSG00000002458",85,118,96,117,95,118
"ENSMUSG00000002459",65,34,58,44,59,63
"ENSMUSG00000002475",11,10,4,10,5,7
"ENSMUSG00000002477",116,131,79,132,94,109
"ENSMUSG00000002486",165,207,160,175,154,180
"ENSMUSG00000002489",613,671,531,679,604,597
"ENSMUSG00000002496",879,837,796,1021,792,894
"ENSMUSG00000002500",0,0,1,1,3,1
"ENSMUSG00000002504",118,150,110,73,97,69
"ENSMUSG00000002524",492,490,515,629,496,502
"ENSMUSG00000002546",309,337,302,344,281,320
"ENSMUSG00000002550",17,14,12,28,18,26
"ENSMUSG00000002565",0,0,1,2,0,0
"ENSMUSG00000002578",1019,1029,964,1090,995,1073
"ENSMUSG00000002580",246,241,216,297,228,264
"ENSMUSG00000002588",1,0,5,0,0,7
"ENSMUSG00000002602",19,15,6,2,9,12
"ENSMUSG00000002603",4,2,1,0,2,4
"ENSMUSG00000002608",539,548,419,592,522,568
"ENSMUSG00000002617",243,217,261,213,225,227
"ENSMUSG00000002625",330,308,290,410,337,297
"ENSMUSG00000002633",29,24,32,24,31,24
"ENSMUSG00000002635",96,121,97,158,117,117
"ENSMUSG00000002658",370,460,412,457,394,375
"ENSMUSG00000002660",156,177,135,205,159,161
"ENSMUSG00000002661",104,81,91,83,80,67
